"name","super_class","sys_package"
"sn_hr_core_coe_security_policy","sys_metadata","d4ac3fff5b311200a4656ede91f91af2"
"sys_illegal_member","","88786da4a920211076daa554cb57d917"
"sc_cat_item_group_mtom","sys_metadata","cc6da5e8a9a0211076daa554cb57d90e"
"sn_cdm_exporter_version","sys_metadata","1a2ce8260f80001063ae409dc4767e65"
"sn_grc_functional_domain_configuration","sys_metadata","53f81621cb200200829cf865734c9c58"
"cmdb_ci_kubernetes_workload","cmdb_ci_kubernetes_component","06a71b1367e4130051c9027e2685ef1e"
"ts_c_32_7","",""
"fm_labor_rate_card","fm_rate_card","04aaa4e487d2e910efbf1f473cbb350d"
"cmdb_ci_firewall_device_cisco","cmdb_ci_firewall_device","ae99d84b2320330006c0110d96bf65b3"
"sys_notification_va_action","sys_notification_action","04bf4ef7879121104b1fa64d0ebb3585"
"ts_c_51_2","",""
"workbench_config_user","workbench_config","37ba6c2887d2e910efbf1f473cbb359a"
"sn_si_isolate_host_entry","","82878663ff123100158bffffffffff67"
"sys_atf_schedule","sysauto_script","84de65e0a9e0211076daa554cb57d918"
"wf_log0007","syslog0007","dddd6d6ca9a0211076daa554cb57d9a7"
"cmn_notif_group","","ffe72924a920211076daa554cb57d95b"
"sys_script_email","sys_metadata","ffe72924a920211076daa554cb57d95b"
"sn_dependentclient_application","","f1d83d71c700030089413952f0976370"
"sn_customerservice_customer_interaction","","51d811fad7223100b7490ee60e61034f"
"planned_task_effort","","47d1721587332550efbf1f473cbb35c0"
"sn_prd_pm_product_offering_relationship","","fb779c995b8310102dff5e92dc81c79e"
"mp_document_action","","d80a47549712e910da6cdc04a253afb4"
"sn_prd_pm_pricing","","fb779c995b8310102dff5e92dc81c79e"
"sys_collection","","b8176120a920211076daa554cb57d9a3"
"sys_ux_template_type","sys_metadata","ed08ed24a920211076daa554cb57d9c6"
"ais_ingest_retry_stats","","dcf8a5a8a920211076daa554cb57d938"
"http_retry_conditions","","142ee5eca9a0211076daa554cb57d9d0"
"sys_user_license_audit_log","","321f2164a9e0211076daa554cb57d941"
"sys_user_group_type","","6837e920a920211076daa554cb57d99c"
"sys_user_grmember","","6837e920a920211076daa554cb57d99c"
"sn_now_azure_token","","b8c6ee1d53972010fa75ddeeff7b122e"
"sys_notification_execution_log0007","syslog0007","e84f6d64a9e0211076daa554cb57d9e8"
